asof,event_ticker,asset,cadence,close_time,T_years,n_strikes,qualifies,reason
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2002,BTC,hourly,2026-09-20T06:00:00+00:00,-1e-06,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2017,BTC,daily,2026-09-20T21:00:00+00:00,0.001712,80,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2517,BTC,weekly,2026-09-25T21:00:00+00:00,0.01541,50,False,"ladder not monotone in Kalshi's own quotes: K=86499.99->0.0550, K=86999.99->0.0650"
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2003,BTC,hourly,2026-09-20T07:00:00+00:00,0.000114,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2004,BTC,hourly,2026-09-20T08:00:00+00:00,0.000228,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2005,BTC,hourly,2026-09-20T09:00:00+00:00,0.000342,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2006,BTC,hourly,2026-09-20T10:00:00+00:00,0.000456,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2007,BTC,hourly,2026-09-20T11:00:00+00:00,0.00057,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2008,BTC,hourly,2026-09-20T12:00:00+00:00,0.000684,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2009,BTC,hourly,2026-09-20T13:00:00+00:00,0.000798,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2010,BTC,hourly,2026-09-20T14:00:00+00:00,0.000913,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2011,BTC,hourly,2026-09-20T15:00:00+00:00,0.001027,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2012,BTC,hourly,2026-09-20T16:00:00+00:00,0.001141,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2013,BTC,hourly,2026-09-20T17:00:00+00:00,0.001255,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2014,BTC,hourly,2026-09-20T18:00:00+00:00,0.001369,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2015,BTC,hourly,2026-09-20T19:00:00+00:00,0.001483,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2016,BTC,hourly,2026-09-20T20:00:00+00:00,0.001598,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2018,BTC,hourly,2026-09-20T22:00:00+00:00,0.001826,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2019,BTC,hourly,2026-09-20T23:00:00+00:00,0.00194,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2020,BTC,hourly,2026-09-21T00:00:00+00:00,0.002054,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2021,BTC,hourly,2026-09-21T01:00:00+00:00,0.002168,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2022,BTC,hourly,2026-09-21T02:00:00+00:00,0.002282,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2023,BTC,hourly,2026-09-21T03:00:00+00:00,0.002397,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXBTCD-26SEP2100,BTC,hourly,2026-09-21T04:00:00+00:00,0.002511,188,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2002,ETH,hourly,2026-09-20T06:00:00+00:00,-1e-06,300,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2017,ETH,daily,2026-09-20T21:00:00+00:00,0.001712,40,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2517,ETH,weekly,2026-09-25T21:00:00+00:00,0.01541,50,False,"ladder not monotone in Kalshi's own quotes: K=3059.99->0.0200, K=3099.99->0.0250"
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2003,ETH,hourly,2026-09-20T07:00:00+00:00,0.000114,300,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2004,ETH,hourly,2026-09-20T08:00:00+00:00,0.000228,300,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2005,ETH,hourly,2026-09-20T09:00:00+00:00,0.000342,300,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2006,ETH,hourly,2026-09-20T10:00:00+00:00,0.000456,300,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2007,ETH,hourly,2026-09-20T11:00:00+00:00,0.00057,300,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2008,ETH,hourly,2026-09-20T12:00:00+00:00,0.000684,300,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2009,ETH,hourly,2026-09-20T13:00:00+00:00,0.000798,300,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2010,ETH,hourly,2026-09-20T14:00:00+00:00,0.000913,300,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2011,ETH,hourly,2026-09-20T15:00:00+00:00,0.001027,300,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2012,ETH,hourly,2026-09-20T16:00:00+00:00,0.001141,300,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2013,ETH,hourly,2026-09-20T17:00:00+00:00,0.001255,300,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2014,ETH,hourly,2026-09-20T18:00:00+00:00,0.001369,300,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2015,ETH,hourly,2026-09-20T19:00:00+00:00,0.001483,300,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2016,ETH,hourly,2026-09-20T20:00:00+00:00,0.001598,300,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2018,ETH,hourly,2026-09-20T22:00:00+00:00,0.001826,300,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2019,ETH,hourly,2026-09-20T23:00:00+00:00,0.00194,300,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2020,ETH,hourly,2026-09-21T00:00:00+00:00,0.002054,300,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2021,ETH,hourly,2026-09-21T01:00:00+00:00,0.002168,300,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2022,ETH,hourly,2026-09-21T02:00:00+00:00,0.002282,300,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2023,ETH,hourly,2026-09-21T03:00:00+00:00,0.002397,300,False,T not bracketed by two usable Deribit slices
2026-09-20T06:00:19.208515+00:00,KXETHD-26SEP2100,ETH,hourly,2026-09-21T04:00:00+00:00,0.002511,300,False,T not bracketed by two usable Deribit slices
