asof,market_id,question,asset,type,strike,resolution,T_years,forward,sigma_at_k,smile_slope,fair,fair_lo,fair_hi,market_yes,liquidity,edge_edge_yes,edge_edge_no,edge_side
2026-07-21T06:45:35.748477+00:00,0xbb57ccf5853a85487bc3d83d04d669310d28c6c810758953b9d9b91d1aee89d2,Will bitcoin hit $1m before GTA VI?,BTC,touch,1000000.0,2026-07-31T12:00:00+00:00,0.027995,66025.43,3.0564,0.6588,0.0,0.0,0.0,0.4985,110262.94539,-0.4985,0.4985,NO
2026-07-21T06:45:35.800819+00:00,0x02deb9538f5c123373adaa4ee6217b01745f1662bc902e46ac92f3fe6f8741e8,"Will Bitcoin hit $150k by December 31, 2026?",BTC,touch,150000.0,2027-01-01T05:00:00+00:00,0.449114,67179.64,0.4777,0.2538,0.0057,0.0034,0.008,0.0305,205207.51677,-0.0248,0.0248,NO
2026-07-25T17:08:32.986044+00:00,0xbb57ccf5853a85487bc3d83d04d669310d28c6c810758953b9d9b91d1aee89d2,Will bitcoin hit $1m before GTA VI?,BTC,touch,1000000.0,2026-07-31T12:00:00+00:00,0.015851,64203.45,2.5151,0.4948,0.0,0.0,0.0,0.4985,104959.18376,-0.4985,0.4985,NO
2026-07-25T17:08:33.035449+00:00,0x02deb9538f5c123373adaa4ee6217b01745f1662bc902e46ac92f3fe6f8741e8,"Will Bitcoin hit $150k by December 31, 2026?",BTC,touch,150000.0,2027-01-01T05:00:00+00:00,0.43697,65329.48,0.4913,0.2397,0.0051,0.0034,0.0069,0.035500000000000004,188287.06141,-0.0304,0.0304,NO
2026-07-26T06:00:12.596510+00:00,0xbb57ccf5853a85487bc3d83d04d669310d28c6c810758953b9d9b91d1aee89d2,Will bitcoin hit $1m before GTA VI?,BTC,touch,1000000.0,2026-07-31T12:00:00+00:00,0.014383,64394.02,1.8214,0.3798,0.0,0.0,0.0,0.4985,81780.39675,-0.4985,0.4985,NO
2026-07-26T06:00:12.705543+00:00,0x02deb9538f5c123373adaa4ee6217b01745f1662bc902e46ac92f3fe6f8741e8,"Will Bitcoin hit $150k by December 31, 2026?",BTC,touch,150000.0,2027-01-01T05:00:00+00:00,0.435502,65512.38,0.4885,0.2336,0.005,0.0033,0.0067,0.037,188003.30272,-0.032,0.032,NO
2026-07-27T06:00:11.670098+00:00,0x02deb9538f5c123373adaa4ee6217b01745f1662bc902e46ac92f3fe6f8741e8,"Will Bitcoin hit $150k by December 31, 2026?",BTC,touch,150000.0,2027-01-01T05:00:00+00:00,0.432762,66630.86,0.4853,0.2246,0.0054,0.0035,0.0073,0.039,187029.50694,-0.0336,0.0336,NO
2026-07-27T06:00:12.280941+00:00,0xac32e73aa9e0dae801d88d4f81efd2ef3fa0f04b815f3a0e74426f0762e668cd,"Will Bitcoin reach $200,000 by December 31, 2026?",BTC,touch,200000.0,2027-01-01T05:00:00+00:00,0.432762,66630.86,0.5518,0.2338,0.0009,0.0004,0.0014,0.0225,79460.22319,-0.0216,0.0216,NO
2026-07-27T06:00:12.873692+00:00,0xe71b9d788ce662d967ff2c90749ff8b26cee290455ef6cb84f33d1393ffae115,"Will Bitcoin reach $190,000 by December 31, 2026?",BTC,touch,190000.0,2027-01-01T05:00:00+00:00,0.432762,66630.86,0.5398,0.2336,0.0013,0.0007,0.0019,0.024,65987.37585,-0.0227,0.0227,NO
2026-07-27T06:00:13.471426+00:00,0x799c35de1e5f3ebd75053643e020e6df9e9a3f477e3d6066eb0a8565f65d547f,"Will Bitcoin reach $180,000 by December 31, 2026?",BTC,touch,180000.0,2027-01-01T05:00:00+00:00,0.432762,66630.86,0.5272,0.2329,0.0018,0.0011,0.0025,0.024,46721.36247,-0.0222,0.0222,NO
2026-07-27T06:00:14.063777+00:00,0x9affeb38bce1e9a6de30e9ecada1ecfaf636574d3961cf3b9177299786214234,"Will Bitcoin reach $170,000 by December 31, 2026?",BTC,touch,170000.0,2027-01-01T05:00:00+00:00,0.432762,66630.86,0.5139,0.2314,0.0023,0.0011,0.0035,0.024,48701.64941,-0.0217,0.0217,NO
2026-07-27T06:00:14.653394+00:00,0x472c9035786b390c08e674fc60bddda488957e1b8aecad3f5480cc531a0754b0,"Will Bitcoin reach $160,000 by December 31, 2026?",BTC,touch,160000.0,2027-01-01T05:00:00+00:00,0.432762,66630.86,0.5,0.2288,0.0038,0.0027,0.0049,0.0335,51613.98991,-0.0297,0.0297,NO
2026-07-27T06:00:15.232397+00:00,0xa7b594ae07d5c1590fa86028fcc2f8705990437237416556c05837a08b2e1cda,"Will Bitcoin reach $150,000 by December 31, 2026?",BTC,touch,150000.0,2027-01-01T05:00:00+00:00,0.432762,66630.86,0.4853,0.2246,0.0054,0.0036,0.0073,0.0315,58160.96571,-0.0261,0.0261,NO
2026-07-27T06:00:15.808835+00:00,0xf0a4c0bc8a8162f0ac95b5a5af7fa665d20a19ca0db03b9117514dafc695f15e,"Will Bitcoin reach $140,000 by December 31, 2026?",BTC,touch,140000.0,2027-01-01T05:00:00+00:00,0.432762,66630.86,0.4701,0.218,0.0079,0.0047,0.0112,0.036500000000000005,52236.54156,-0.0286,0.0286,NO
